Hospitalizations - Total,Cases - Total,Deaths - Total,Date
28.0,376.0,1.0,08/10/2020
6.0,120.0,2.0,03/20/2022
87.0,1736.0,9.0,10/28/2020
54.0,644.0,2.0,08/23/2021
12.0,103.0,2.0,07/13/2021
5.0,35.0,0.0,07/15/2023
7.0,56.0,0.0,07/30/2023
32.0,641.0,1.0,09/01/2022
22.0,129.0,1.0,01/01/2024
15.0,58.0,7.0,06/06/2021
13.0,87.0,1.0,03/11/2024
36.0,467.0,2.0,11/17/2022
29.0,419.0,2.0,09/28/2020
50.0,557.0,8.0,04/10/2021
115.0,1373.0,17.0,11/28/2020
18.0,253.0,1.0,04/10/2023
34.0,379.0,3.0,09/25/2020
59.0,352.0,4.0,05/01/2021
19.0,154.0,2.0,07/11/2020
14.0,73.0,0.0,10/08/2023
7.0,135.0,1.0,10/31/2023
21.0,203.0,3.0,09/05/2020
31.0,331.0,1.0,09/03/2022
46.0,405.0,6.0,08/14/2021
18.0,332.0,3.0,07/28/2020
102.0,265.0,23.0,11/26/2020
28.0,328.0,2.0,10/10/2022
34.0,487.0,1.0,07/30/2022
48.0,1005.0,2.0,07/20/2022
14.0,130.0,1.0,04/01/2023
9.0,107.0,1.0,10/22/2023
22.0,207.0,2.0,10/15/2022
42.0,733.0,2.0,11/17/2021
15.0,100.0,0.0,03/04/2024
34.0,436.0,3.0,11/01/2021
180.0,461.0,24.0,04/01/2020
5.0,27.0,1.0,06/20/2021
5.0,76.0,0.0,07/08/2021
25.0,241.0,1.0,11/21/2023
4.0,27.0,1.0,06/24/2023
10.0,181.0,0.0,09/28/2023
7.0,62.0,1.0,06/05/2023
42.0,333.0,2.0,12/05/2023
5.0,49.0,0.0,07/10/2021
155.0,1091.0,58.0,05/05/2020
91.0,3590.0,10.0,12/15/2021
7.0,82.0,1.0,07/09/2021
28.0,306.0,4.0,07/08/2020
11.0,94.0,2.0,03/14/2024
42.0,275.0,2.0,12/08/2023
142.0,2738.0,30.0,01/18/2022
63.0,233.0,20.0,06/01/2020
16.0,343.0,3.0,10/26/2021
121.0,2389.0,23.0,11/30/2020
31.0,519.0,8.0,11/03/2021
30.0,440.0,2.0,03/19/2021
22.0,141.0,5.0,08/01/2020
13.0,688.0,0.0,04/22/2022
31.0,444.0,5.0,02/21/2023
6.0,78.0,0.0,07/21/2023
41.0,368.0,2.0,12/27/2023
35.0,514.0,2.0,10/25/2022
11.0,93.0,0.0,07/24/2023
